日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,8,627.13,55900,5569,424665.14,79,6704.58,42459,15392,1301954.08,13,1563.40,41862,8250,951714.74,10,1194.19,54535,3395,653085.29,0,0,0,951,202266.97,1,158.51,60748,457,76296.41,1,136.36,40369,646,148002.96,0,0,0,28,12443.47,94,7909.83,44218,349759768,14,1753.61,42349,74263479,4,720.73,57454,41409175,17,791.99,35942,16400,1807438.91,0,0,0,3597,643011.44,112,10384.17,44821,35442,3841727.44
20160307,1,79.77,39694,5568,424585.37,13,1181.58,33732,15380,1300861.59,8,795.94,37514,8242,950918.80,6,826.73,46344,3389,652258.56,0,0,0,951,202266.97,0,0,0,457,76296.41,0,0,0,646,148002.96,0,0,0,28,12443.47,21,1793.19,41358,74162109,4,487.23,38590,18802161,3,603.60,30206,18232472,10,384.57,36457,16390,1807054.34,0,0,0,3597,643011.44,28,2884.02,38556,35415,3838932.51
20160309,4,282.60,64284,5512,420630.25,113,9654.56,44866,15155,1282055.36,27,3185.04,50108,8075,931087.33,19,3096.24,63281,3295,635594.53,6,1116.33,43383,945,201209.12,1,101.05,70457,454,75838.72,2,408.10,40184,643,147417.39,0,0,0,28,12443.47,126,10397.49,45467,472745539,34,4026.83,48335,194635390,16,3552.04,61302,217745887,24,1328.99,33290,16353,1804467.63,21,4918.08,54885,3573,638048.11,176,17976.36,49238,34842,3776311.30
20160311,6,574,46218,5480,417910.92,69,6275.11,37482,14964,1265172.84,33,3819.58,44777,8012,923868.47,53,8819.78,69512,3226,624380.97,8,1671.61,74013,929,198043.96,2,333.07,80899,451,75337.51,1,127.71,40557,641,146989.40,0,0,0,28,12443.47,80,6872.69,38048,261492331,38,4500.65,44519,200365151,54,10247.52,72196,739826177,49,5772.60,62012,16258,1796485.71,15,4479.75,49347,3556,633223.13,172,21620.86,55580,34435,3731945.05
20160314,0,0,0,5448,415433.11,22,1892.31,41466,14945,1261940.28,16,1810.88,56192,8039,924200.20,2,548.35,81116,3209,621622.95,0,0,0,926,197567.96,0,0,0,446,74794.45,0,0,0,641,147010.15,0,0,0,28,12443.47,29,2484.01,40730,101172742,6,732.60,67933,49767741,5,1034.93,71274,73763146,5,224.45,22282,15884,1758146.31,6,1588.50,42738,3398,592863.16,40,4251.54,52852,34386,3722810.08
20160315,10,840.79,73608,5436,414493.34,59,5258.48,48249,14863,1254681.05,12,1357.74,40048,8008,920717.75,5,535.61,47688,3140,613119.43,6,1100.91,39262,920,196467.05,0,0,0,443,73880.83,0,0,0,641,147010.15,0,0,0,28,12443.47,80,6242,48917,305337232,20,2213.53,45632,101007735,8,1484.60,48262,71650402,18,1014.76,45679,15656,1741213.99,6,312.95,54376,3390,592070.03,108,9940.13,48087,34167,3699763.98
20160317,23,1726.19,56707,5401,411596.88,58,4781.32,43461,14590,1231483.55,35,3765.61,39939,7936,912283.47,9,1555.29,62429,3124,610393.13,2,282.66,35481,916,195849.17,2,366.06,55146,440,73429.07,1,189,28436,638,146504.35,0,0,0,28,12443.47,106,8362.72,44471,371896802,22,2528.49,41361,104579699,13,2451.73,59653,146252314,30,2296.53,43664,15638,1747655.51,6,403.19,68746,3220,566924.95,141,13342.94,46671,33731,3659290.99
20160318,23,1902.21,57475,5378,409694.67,63,5410,33184,14549,1228101.04,31,3850.05,52683,7902,910306.63,20,3556.77,63865,3105,606970.73,5,824.39,62593,911,195024.78,0,0,0,440,73429.07,1,270.50,38416,637,146233.85,0,0,0,28,12443.47,95,8018.17,39397,315891703,18,2245.04,53330,119727886,30,5550.71,62192,345211918,78,7345.76,80485,15726,1754110.09,14,2857.35,69577,3284,569339.43,143,15813.92,49376,33608,3647512.14
20160320,17,1289.29,61955,5330,405618.11,47,3773.79,44942,14478,1222547.27,10,1023.27,44187,7693,887643.14,7,1402.32,76466,3019,594107.36,0,0,0,893,192397.64,4,741.73,57111,435,72426.24,0,0,0,630,144395.68,0,0,0,28,12443.47,71,5649.38,48683,275026934,2,240.90,37731,9089302,12,2340.12,68444,160167745,3,114.85,44023,15637,1740228.70,0,0,0,3278,569024.70,85,8230.40,53981,33132,3594606.39
20160321,2,138.95,20179,5276,400583.38,30,2573.17,31922,14400,1215547.79,7,788.72,49543,7667,884209.79,7,1230.87,65892,3012,592876.49,1,254.62,88220,892,192143.02,0,0,0,435,72426.24,2,406.76,36939,628,143988.92,0,0,0,28,12443.47,35,2978.67,31734,94524588,5,623.15,42497,26481991,9,1791.27,67888,121606583,11,630.44,36967,15626,1739598.26,0,0,0,3278,569024.70,49,5393.09,44986,32964,3577246.58
