日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方 >米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,5,430.93,67200,2873,208138.64,66,5580.72,42159,5725,477161.15,7,792.29,44392,3309,366872.57,2,250.98,40820,1485,316026.53,0,0,0,278,68325.45,0,0,0,50,12932.76,1,136.36,40369,346,83779.90,0,0,0,10,5521.49,74,6262.15,43605,273058311,6,734.95,40770,29964073,1,194.18,62496,12135425,14,679.50,34370,6020,700662.99,0,0,0,876,110610.44,81,7191.28,43825,14212,1562348.61
20160307,0,0,0,2873,208138.64,2,171.92,39599,5723,476989.23,2,161.70,37261,3307,366710.87,1,125.49,41086,1484,315901.04,0,0,0,278,68325.45,0,0,0,50,12932.76,0,0,0,346,83779.90,0,0,0,10,5521.49,4,333.62,38466,12832878,1,125.49,41086,5155847,0,0,0,0,9,335,39091,6011,700327.99,0,0,0,876,110610.44,5,459.11,39182,14207,1561889.50
20160309,0,0,0,2847,206428.38,83,6995.47,41867,5568,464263.57,16,1915.50,43427,3281,363872.98,8,1254.49,57519,1476,314646.55,0,0,0,278,68325.45,0,0,0,50,12932.76,0,0,0,345,83602.43,0,0,0,10,5521.49,82,6792.20,41700,283233389,22,2677.75,41800,111930845,3,695.51,76279,53052823,8,465.55,49933,5990,698773.17,0,0,0,876,110610.44,107,10165.46,44092,13991,1543183.73
20160311,2,166.30,53343,2846,206301.17,29,2510.01,39741,5501,458399.41,14,1704.10,42516,3256,361044.57,9,1548.46,54568,1464,312527.75,0,0,0,278,68325.45,0,0,0,50,12932.76,0,0,0,345,83602.43,0,0,0,10,5521.49,34,2870.13,38713,111111887,13,1585.03,39851,63165503,7,1473.71,61946,91291140,7,280.11,31148,5964,697910.58,0,0,0,876,110610.44,54,5928.87,44792,13886,1532245.15
20160314,0,0,0,2823,204374.41,7,596.37,37420,5412,450051.20,1,80.20,43339,3221,357034.58,2,548.35,81116,1458,311322.60,0,0,0,278,68325.45,0,0,0,50,12932.76,0,0,0,345,83602.43,0,0,0,10,5521.49,8,676.57,38121,25791705,0,0,0,0,2,548.35,81116,44480091,0,0,0,5645,667395.06,0,0,0,876,110610.44,10,1224.92,57368,13733,1516755.04
20160315,3,261.03,58542,2818,204014.40,25,2211.89,42780,5356,445164.49,8,879.98,39560,3194,354029.89,1,127.34,47723,1393,303227.35,0,0,0,278,68325.45,0,0,0,47,12019.14,0,0,0,345,83602.43,0,0,0,10,5521.49,23,1938.99,43021,83417055,14,1541.25,43717,67378167,0,0,0,0,3,152.82,47048,5432,651324.68,0,0,0,876,110610.44,37,3480.24,43329,13577,1499494.76
20160317,17,1283.73,57352,2806,203334.04,35,2796.56,40552,5285,439720.34,27,2733.25,36039,3148,348917.67,7,1185.18,63533,1381,301256.83,0,0,0,278,68325.45,0,0,0,47,12019.14,0,0,0,345,83602.43,0,0,0,10,5521.49,67,5385.65,42596,229407245,15,1716.35,38293,65724605,4,896.72,73266,65699450,23,1438.22,41769,5656,676926.80,0,0,0,876,110610.44,86,7998.72,45111,13429,1486080.95
20160318,13,1135.72,68155,2793,202198.32,12,1021.92,27171,5286,439925.66,10,1007.54,32228,3133,349508.24,8,1687.26,64015,1372,299444.56,0,0,0,278,68325.45,0,0,0,47,12019.14,0,0,0,345,83602.43,0,0,0,10,5521.49,31,2651.63,46279,122715500,5,621.42,29971,18624320,7,1579.39,66047,104314346,15,1193.56,30333,5580,672123.18,3,620.80,69833,873,109989.64,43,4852.44,50625,13393,1483928.85
20160320,13,1010.32,63012,2770,200319.05,36,2808.73,45348,5157,429651.68,4,415.37,40865,2939,328592.18,3,666.94,73486,1301,289440.69,0,0,0,261,65952.93,1,226.19,45598,46,11792.95,0,0,0,338,81764.26,0,0,0,10,5521.49,52,4087.49,49559,202570970,0,0,0,0,5,1040.06,62266,64760752,0,0,0,5527,667971.17,0,0,0,872,109921.89,57,5127.55,52136,12951,1436418.79
20160321,0,0,0,2770,200319.05,0,0,0,5123,426429.56,0,0,0,2934,327621.54,0,0,0,1301,289440.69,0,0,0,261,65952.93,0,0,0,46,11792.95,0,0,0,338,81764.26,0,0,0,10,5521.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5527,667971.17,0,0,0,872,109921.89,0,0,0,12912,1432226.03
20160322,1,88.54,45924,2769,200230.51,28,2344.04,41798,5129,427307.64,15,1587.86,43944,2919,325929.40,2,416.24,74451,1304,289848.50,0,0,0,261,65952.93,0,0,0,49,12706.57,0,0,0,337,81503.03,0,0,0,10,5521.49,38,3236.57,43210,139853516,6,783.87,40780,31966255,2,416.24,74451,30989531,5,192.14,38684,5522,667779.03,0,0,0,872,109921.89,46,4436.68,45712,12907,1432383.63
