日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方 >米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,0,0,0,587,34169.41,1,120.11,48522,326,22147.01,1,108.36,86897,192,27322.66,0,0,0,139,23974.93,0,0,0,213,43573.91,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,2,228.47,66722,15244066,0,0,0,0,0,0,0,2084,150105.86,0,0,0,1286,352633.22,2,228.47,66722,1519,164958.55
20160307,0,0,0,587,34169.41,0,0,0,326,22147.01,0,0,0,192,27322.66,0,0,0,139,23974.93,0,0,0,213,43573.91,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,150105.86,0,0,0,1286,352633.22,0,0,0,1519,164958.55
20160309,0,0,0,587,34169.41,0,0,0,326,22147.01,0,0,0,191,27163.57,3,388.96,75235,135,23396.29,1,158.75,65657,212,43415.16,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,3,388.96,75235,29263260,1,158.75,65657,10422992,0,0,0,2084,150105.86,0,0,0,1286,352633.22,4,547.71,72459,1513,164062.07
20160311,0,0,0,585,34072.39,0,0,0,326,22147.01,1,108.90,76994,190,27054.67,4,602.57,65665,129,22521.98,1,188.41,96627,211,43226.75,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,3,334.15,80589,26928917,3,565.73,69342,39228888,18,3493.90,65318,2066,146611.96,1,946.31,44501,1284,351438.44,6,899.88,73518,1503,162793.43
20160314,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,189,26888.63,0,0,0,129,22521.98,0,0,0,209,42887.44,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038,139652.45,6,1588.50,42738,1157,318421.31,0,0,0,1500,162288.08
20160315,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,189,26888.63,0,0,0,129,22521.98,0,0,0,209,42887.44,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038,139652.45,0,0,0,1155,317941.13,0,0,0,1500,162288.08
20160317,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,187,26563.23,0,0,0,128,22408.76,0,0,0,209,42887.44,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,139190.50,0,0,0,1069,298471.07,0,0,0,1497,161849.46
20160318,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,187,26563.23,2,247.90,82799,127,22296.73,1,158.75,83490,208,42728.69,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,2,247.90,82799,20525842,1,158.75,83490,13253973,0,0,0,2036,139190.50,0,0,0,1069,298471.07,3,406.65,83069,1495,161578.68
20160320,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,187,26563.23,0,0,0,127,22296.73,0,0,0,208,42728.69,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,139190.50,0,0,0,1069,298471.07,0,0,0,1495,161578.68
20160321,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,187,26563.23,0,0,0,127,22296.73,0,0,0,208,42728.69,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,139190.50,0,0,0,1069,298471.07,0,0,0,1495,161578.68
20160322,0,0,0,585,34072.39,0,0,0,326,22147.01,0,0,0,187,26563.23,0,0,0,127,22296.73,0,0,0,208,42728.69,0,0,0,11,2935.99,0,0,0,17,4131.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036,139190.50,2,443.77,52159,1067,298027.30,0,0,0,1495,161578.68
