日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,0,0,0,1069,86002,0,0,0,7657,634253.29,4,573.92,30447,3750,419454.34,0,0,0,604,83901.49,0,0,0,334,58132.05,0,0,0,268,34017.13,0,0,0,187,36455.53,0,0,0,8,1953.44,0,0,0,0,4,573.92,30447,17474255,0,0,0,0,3,112.49,45436,5448,485561.67,0,0,0,526,67631.57,4,573.92,30447,13880,1354248.97
20160307,1,79.77,39694,1068,85922.23,6,580.32,29829,7652,633762.06,3,351.94,26055,3747,419102.40,1,245.87,16695,603,83655.62,0,0,0,334,58132.05,0,0,0,268,34017.13,0,0,0,187,36455.53,0,0,0,8,1953.44,8,700.06,34321,24026495,1,137.83,17106,2357777,2,420.01,17541,7367291,1,49.57,18659,5447,485512.10,0,0,0,526,67631.57,11,1257.90,26832,13870,1353080.16
20160309,4,282.60,64284,1054,84770.50,27,2403.53,53557,7612,630174.27,6,633.26,46716,3734,417693.89,1,89.85,48438,600,83315.63,5,957.58,39691,329,57232.95,1,101.05,70457,266,33828.56,2,408.10,40184,185,36047.43,0,0,0,8,1953.44,36,3127.72,53086,166038123,3,339.67,55157,18735204,7,1408.58,40878,57579784,16,863.44,24315,5431,484480.21,1,66.78,31971,525,67564.79,46,4875.97,49704,13791,1345096.37
20160311,3,267.62,40266,1029,82651.31,28,2528.62,29805,7517,621804.48,11,1213.43,33043,3711,415104.59,2,179.47,52773,593,82351.73,2,393.23,39007,321,55739.47,0,0,0,266,33828.56,1,127.71,40557,183,35619.44,0,0,0,8,1953.44,35,3073.61,33069,101642382,9,1093.04,30349,33172923,3,543.43,39400,21411347,15,862.84,30183,5394,482293.94,0,0,0,524,67468.03,47,4710.08,33169,13631,1329132.72
20160314,0,0,0,1024,82313.87,11,949.24,34976,7606,628510.44,9,866.10,35641,3780,420476.93,0,0,0,592,82254.38,0,0,0,320,55602.78,0,0,0,262,33450.06,0,0,0,183,35640.19,0,0,0,8,1953.44,17,1460.74,35894,52431459,2,180.46,44042,7947879,1,174.14,21189,3689795,5,224.45,22282,5373,481772.76,0,0,0,524,67468.03,20,1815.34,35293,13778,1340281.79
20160315,3,229.78,32262,1021,82084.09,16,1374.47,38594,7593,627402.60,3,389.88,41442,3777,420087.05,4,408.27,47678,588,81846.11,5,959.58,39933,315,54643.20,0,0,0,262,33450.06,0,0,0,183,35640.19,0,0,0,8,1953.44,22,1873.48,39286,73602070,2,228.57,44238,10111453,7,1259.93,40231,50688050,7,444.43,27694,5366,481328.33,0,0,0,524,67468.03,31,3361.98,39977,13750,1337186.44
20160317,1,77.19,28896,1013,81497.14,14,1235.25,42164,7522,621055.99,4,473.44,41710,3760,418091.90,0,0,0,588,81846.11,0,0,0,313,54307.98,0,0,0,261,33364.36,1,189,28436,180,35134.39,0,0,0,8,1953.44,16,1395.25,41487,57884211,1,90.23,43967,3967148,3,489.40,35929,17583785,4,337.07,23654,5358,480671.86,0,0,0,524,67468.03,20,1974.88,40223,13648,1327331.01
20160318,8,648.52,39284,1005,80848.62,41,3570.44,32714,7490,618285.80,12,1518.49,49675,3750,416848.51,2,274.47,34529,587,81695.15,3,524.34,63464,310,53783.64,0,0,0,261,33364.36,1,270.50,38416,179,34863.89,0,0,0,8,1953.44,54,4638.43,34606,160518506,1,123.51,31758,3922434,12,2044.82,52040,106413313,9,549.17,28242,5349,480122.69,2,101.82,22401,522,67366.21,67,6806.76,39792,13593,1321723.11
20160320,3,213.57,62239,986,79206.85,6,533.09,38913,7462,615791.81,5,458.52,34602,3742,415982.76,0,0,0,586,81544.31,0,0,0,310,53783.64,1,100.24,72177,260,33264.12,0,0,0,179,34863.89,0,0,0,8,1953.44,13,1064.52,45136,48047877,2,240.90,37731,9089302,0,0,0,0,3,114.85,44023,5344,479919.32,0,0,0,522,67366.21,15,1305.42,43769,13536,1316470.52
20160321,2,138.95,20179,932,74172.12,28,2394.18,29098,7434,613397.63,5,493.41,32278,3730,414636.95,2,257.90,39301,584,81286.41,0,0,0,310,53783.64,0,0,0,260,33264.12,2,406.76,36939,177,34457.13,0,0,0,8,1953.44,33,2799.68,29307,82049348,4,484.76,34000,16481991,2,406.76,36939,15025156,11,630.44,36967,5333,479288.88,0,0,0,522,67366.21,39,3691.20,30764,13438,1307031.14
