日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方 >米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,0,0,0,202,11450.58,2,146.70,39399,377,28354.34,1,88.83,38116,380,44055.14,1,123.79,43326,361,74484.97,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,3,235.53,38915,9165612,1,123.79,43326,5363331,0,0,0,0,0,0,0,993,86648.57,0,0,0,261,16751.90,4,359.32,40435,1377,169218.48
20160307,0,0,0,202,11450.58,0,0,0,377,28354.34,0,0,0,380,44055.14,0,0,0,361,74484.97,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,86648.57,0,0,0,261,16751.90,0,0,0,1377,169218.48
20160309,0,0,0,192,10862.57,1,82.72,57657,359,27064.36,4,387.05,60910,259,29700.59,4,1039.97,70615,288,60825.16,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,1,82.72,57657,4769354,4,387.05,60910,23575034,4,1039.97,70615,73437246,0,0,0,993,86648.57,0,0,0,261,16751.90,9,1509.74,67417,1155,139326.13
20160311,0,0,0,192,10862.57,2,144.91,46548,350,26416.13,3,296.51,60654,255,29344.10,4,850.24,63202,283,59851.13,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,2,144.91,46548,6745275,4,418.90,54539,22846370,3,727.85,67150,48875385,0,0,0,992,86576.05,0,0,0,261,16751.90,9,1291.66,60749,1137,137347.38
20160314,0,0,0,188,10648.96,0,0,0,346,26126.16,0,0,0,255,29344.10,0,0,0,283,59851.13,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,86338.01,0,0,0,257,16576.44,0,0,0,1129,136843.80
20160315,0,0,0,188,10648.96,3,219.66,38902,343,25906.50,1,87.88,38756,254,29256.22,0,0,0,283,59851.13,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,4,307.54,38860,11951128,0,0,0,0,0,0,0,0,4,176.39,59054,984,86161.62,4,200.29,54366,253,16376.15,4,307.54,38860,1125,136536.26
20160317,3,164.91,54940,185,10484.05,5,386.67,44222,337,25430.37,1,115.43,49851,253,29140.79,0,0,0,283,59851.13,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,8,551.58,47426,26159479,1,115.43,49851,5754309,0,0,0,0,0,0,0,757,68751.22,0,0,0,175,11104.32,9,667.01,47846,1115,135779.79
20160318,2,117.97,54658,183,10366.08,10,817.64,42749,327,24612.73,1,86.53,42731,252,29054.26,1,122.39,41878,282,59728.74,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,10,728.11,44853,32657697,4,416.42,42186,17567068,0,0,0,0,0,0,0,984,86161.62,0,0,0,253,16376.15,14,1144.53,43882,1101,134635.26
20160320,0,0,0,183,10366.08,0,0,0,319,23982.91,0,0,0,249,28695.27,0,0,0,278,58834.04,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,85853.45,0,0,0,250,16251.91,0,0,0,1086,132751.75
20160321,0,0,0,183,10366.08,0,0,0,307,22941.79,0,0,0,242,27873.68,1,237.59,64884,277,58596.45,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,1,237.59,64884,15415800,0,0,0,979,85853.45,0,0,0,250,16251.91,1,237.59,64884,1066,130651.45
20160322,0,0,0,183,10366.08,0,0,0,307,22941.79,0,0,0,136,15413.98,0,0,0,240,51458.83,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,85853.45,0,0,0,250,16251.91,0,0,0,921,110862.05
20160323,0,0,0,181,10248.01,0,0,0,316,23774.86,0,0,0,253,29440.37,0,0,0,240,51458.83,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,85728.33,0,0,0,250,16251.91,0,0,0,1045,125603.44
20160324,2,118.07,51625,181,10248.01,3,208.05,57275,316,23774.86,2,246.37,38394,251,29194,0,0,0,240,51458.83,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,6,415.68,50155,20848549,0,0,0,0,1,156.81,42229,6621854,3,125.12,53397,976,85728.33,0,0,0,250,16251.91,7,572.49,47984,1043,125357.07
20160325,0,0,0,181,10248.01,0,0,0,316,23774.86,4,479.84,91483,247,28714.16,2,360.16,90589,303,62801.03,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,33,6605.33,0,0,0,5,2794.17,0,0,0,0,4,479.84,91483,43897248,2,360.16,90589,32626462,1,76.10,53338,975,85652.23,0,0,0,250,16251.91,6,840,91100,1102,136219.43
20160326,1,58.66,54250,180,10189.35,0,0,0,316,23774.86,3,393.39,88639,242,28007.81,1,267.46,68233,297,61596.44,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,1,58.66,54250,3182285,2,237.71,96295,22890228,2,423.14,71440,30229179,0,0,0,975,85652.23,0,0,0,250,16251.91,5,719.51,78250,1089,133615.63
20160327,0,0,0,180,10189.35,0,0,0,316,23774.86,0,0,0,242,28007.81,1,180.08,91710,296,61416.36,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,1,180.08,91710,16515069,0,0,0,975,85652.23,0,0,0,250,16251.91,1,180.08,91710,1088,133435.55
20160328,0,0,0,180,10189.35,0,0,0,316,23774.86,1,121.08,84152,241,27886.73,0,0,0,296,61416.36,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,0,0,0,0,1,121.08,84152,10189175,0,0,0,0,0,0,0,975,85652.23,0,0,0,250,16251.91,1,121.08,84152,1087,133314.47
20160329,0,0,0,180,10189.35,0,0,0,316,23774.86,3,360.99,89263,237,27370.06,0,0,0,296,61416.36,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,0,0,0,0,3,360.99,89263,32223143,0,0,0,0,0,0,0,975,85652.23,0,0,0,250,16251.91,3,360.99,89263,1083,132797.80
20160330,0,0,0,180,10189.35,0,0,0,316,23774.86,0,0,0,345,40060.62,0,0,0,333,68553.98,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,85652.23,0,0,0,250,16251.91,0,0,0,1228,152625.98
20160331,0,0,0,180,10189.35,4,284.47,38452,312,23490.39,2,247.97,67463,343,39852.90,1,267.46,64945,331,68019.06,0,0,0,2,279.38,0,0,0,1,631.65,0,0,0,32,5971.13,0,0,0,5,2794.17,5,374.35,41167,15411018,2,194.49,45441,8837816,2,423.14,71718,30346812,0,0,0,975,85652.23,0,0,0,250,16251.91,9,991.98,55037,1220,151598.87
