日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,0,0,0,548,63163.79,3,265.50,69607,901,101926.98,0,0,0,496,79403.15,7,819.42,60429,770,147625.19,0,0,0,123,31730.53,1,158.51,60748,73,15992.26,0,0,0,60,16341.51,0,0,0,3,1570.71,7,624.40,67481,42135368,1,92.48,67233,6217754,3,526.55,55595,29273750,0,0,0,1265,313252.25,0,0,0,494,85155.63,11,1243.43,62430,3539,498117.09
20160307,0,0,0,548,63163.79,0,0,0,901,101926.98,2,150.87,63027,494,79252.28,4,455.37,63802,766,147169.82,0,0,0,123,31730.53,0,0,0,73,15992.26,0,0,0,60,16341.51,0,0,0,3,1570.71,4,330.17,65312,21563925,1,92.48,66320,6133260,1,183.59,59182,10865181,0,0,0,1265,313252.25,0,0,0,494,85155.63,6,606.24,63609,3533,497510.85
20160309,0,0,0,542,62658.67,2,172.84,39310,889,100724.18,1,249.23,93300,488,78180.85,3,322.97,51777,760,146338.72,0,0,0,123,31730.53,0,0,0,72,15723.14,0,0,0,60,16341.51,0,0,0,3,1570.71,7,394.85,47372,18704673,2,233.40,47691,11131047,1,249.23,93300,23253042,0,0,0,1265,313252.25,20,4851.30,55200,473,80381.82,10,877.48,60501,3483,492368.03
20160311,0,0,0,542,62658.67,5,466.80,55583,876,99516.80,4,496.64,64659,478,76845.09,34,5639.04,75511,721,140056.20,5,1089.97,82733,116,30247.26,2,333.07,80899,69,15221.93,0,0,0,60,16341.51,0,0,0,3,1570.71,6,517.17,62505,32325758,8,929.45,50965,47369270,36,6578.90,79237,521292082,9,1135.75,83637,1252,311885.61,13,3471.66,50600,460,76910.16,50,8025.52,74885,3380,479320.27
20160314,0,0,0,542,62658.67,4,346.70,66194,866,98647.75,6,864.58,77972,472,75980.51,0,0,0,711,138600.68,0,0,0,116,30247.26,0,0,0,68,15057.37,0,0,0,60,16341.51,0,0,0,3,1570.71,4,346.70,66194,22949578,4,552.14,75741,41819862,2,312.44,81914,25593260,0,0,0,1250,311780.46,0,0,0,433,69742.78,10,1211.28,74601,3353,475966.56
20160315,4,349.98,111990,538,62308.69,14,1363.85,69382,857,97691.34,0,0,0,472,75980.51,0,0,0,711,138600.68,1,141.33,34706,115,30105.93,0,0,0,68,15057.37,0,0,0,60,16341.51,0,0,0,3,1570.71,30,2033.38,65651,133493516,4,443.71,53003,23518115,1,224.67,93303,20962352,4,241.12,68176,1246,311539.34,0,0,0,433,69742.78,35,2701.76,65873,3323,473672.24
20160317,2,200.36,64737,533,61516.24,4,362.84,69484,736,87206.47,3,443.49,59509,466,75094.43,2,370.11,58894,708,137958.12,2,282.66,35481,113,29823.27,2,366.06,55146,66,14691.31,0,0,0,60,16341.51,0,0,0,3,1570.71,15,1030.24,56730,58445867,5,606.48,48037,29133637,6,1065.61,59092,62969079,3,521.24,61832,1241,310907.56,2,187.86,86776,431,69554.92,26,2702.33,55711,3161,458781.11
20160318,0,0,0,533,61516.24,0,0,0,736,87206.47,8,1237.49,73725,458,73856.94,7,1224.75,68597,701,136733.37,1,141.30,35885,112,29681.97,0,0,0,66,14691.31,0,0,0,60,16341.51,0,0,0,3,1570.71,0,0,0,0,6,835.79,70697,59088222,10,1767.75,68579,121230286,54,5603.03,96289,1187,305304.53,8,2073.36,72003,423,67481.56,16,2603.54,69259,3145,456177.57
20160320,0,0,0,529,61091.76,2,177.90,58397,839,95814.61,1,149.38,82846,455,73450.10,4,735.38,79169,691,134919.41,0,0,0,111,29427.35,2,415.30,59745,63,14014.91,0,0,0,60,16341.51,0,0,0,3,1570.71,2,177.90,58397,10388779,0,0,0,0,7,1300.06,73387,95406993,0,0,0,1161,296086.69,0,0,0,423,67481.56,9,1477.96,71582,3195,458928.99
20160321,0,0,0,529,61091.76,2,178.99,69698,835,95472.55,2,295.31,78391,453,73154.79,4,735.38,75544,687,134184.03,1,254.62,88220,110,29172.73,0,0,0,63,14014.91,0,0,0,60,16341.51,0,0,0,3,1570.71,2,178.99,69698,12475240,1,138.39,72260,10000000,6,1146.92,79487,91165627,0,0,0,1161,296086.69,0,0,0,423,67481.56,9,1464.30,77608,3184,457301.62
20160322,0,0,0,960,111138.18,1,92.71,75362,1148,150228.69,2,367.72,70864,743,147838.41,13,2135.22,72264,597,125419.81,1,141.33,37800,110,29468.23,1,165.81,82474,66,15650.44,0,0,0,60,16341.51,0,0,0,3,1570.71,24,1534.50,41808,64154526,5,661.51,58774,38879570,13,2241.28,74726,167481073,2,194.69,65388,1159,295892,0,0,0,423,67481.56,42,4437.29,60964,4107,628420.11
20160323,0,0,0,960,111138.18,1,85.98,38496,1141,149624.14,0,0,0,741,147524.57,3,422.62,37902,594,124997.19,0,0,0,110,29468.23,1,239.89,64336,65,15410.55,0,0,0,60,16341.51,0,0,0,3,1570.71,23,1446.82,40942,59235252,3,422.62,37902,16018146,1,239.89,64336,15433612,2,267.66,66305,1156,295431.11,4,591.11,91444,419,66890.45,27,2109.33,42993,4057,624438.91
20160324,0,0,0,960,111138.18,4,355.23,77288,1139,149454.60,3,442.52,74842,740,147395.89,0,0,0,594,124997.19,0,0,0,110,29468.23,0,0,0,65,15410.55,0,0,0,60,16341.51,0,0,0,3,1570.71,20,1431.14,57670,82534396,3,372.62,49779,18548673,2,313.84,84413,26492101,1,193.23,66001,1156,295431.11,2,229.76,91313,417,66660.69,25,2117.60,60245,4051,623860.30
20160325,0,0,0,960,111138.18,0,0,0,1138,149371.08,4,368.78,52469,765,149215.17,10,899.80,65094,665,131393.16,0,0,0,110,29468.23,0,0,0,65,15410.55,0,0,0,60,16341.51,0,0,0,3,1570.71,12,1046.95,62636,65576252,2,221.63,55702,12345223,0,0,0,0,1,133.83,68504,1883,338734.77,0,0,0,365,56825.35,14,1268.58,61424,4146,631992.03
