日期,一房成交套数,一房成交面积,一房成交均价,一房可售套数,一房可售面积,二房成交套数,二房成交面积,二房成交均价,二房可售套数,二房可售面积,三房成交套数,三房成交面积,三房成交均价,三房可售套数,三房可售面积,四房成交套数,四房成交面积,四房成交均价,四房可售套数,四房可 >售面积,四房以上成交套数,四房以上成交面积,四房以上成交均价,四房以上可售套数,四房以上可售面积,复式成交套数,复式成交面积,复式成交>均价,复式可售套数,复式可售面积,复式住宅成交套数,复式住宅成交面积,复式住宅成交均价,复式住宅可售套数,复式住宅可售面积,别墅成交套>数,别墅成交面积,别墅成交均价,别墅可售套数,别墅可售面积,90平方米以下成交套数,90平方米以下成交面积,90平方米以下成交均价,90平方米>以下成交金额,90~140平方米成交套数,90~140平方米成交面积,90~140平方米成交均价,90~140平方米成交金额,144平方米以上成交套数,144平方 >米以上成交面积,144平方米以上成交均价,144平方米以上成交金额,商业成交套数,商业成交面积,商业成交均价,商业可售套数,商业可售面积,办>公楼成交套数,办公楼成交面积,办公楼成交均价,办公楼可售套数,办公楼可售面积,住宅成交套数,住宅成交面积,住宅成交均价,住宅可售套数,住宅可售面积
20160305,3,196.20,31083,290,21740.72,7,591.55,32630,406,38111.31,0,0,0,123,14606.88,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,10,787.75,32244,25400477,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,154,10228.68,10,787.75,32244,915,92835.74
20160307,0,0,0,290,21740.72,5,429.34,36658,401,37681.97,1,131.43,39225,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,5,429.34,36658,15738811,1,131.43,39225,5155277,0,0,0,0,0,0,0,590,71207.57,0,0,0,154,10228.68,6,560.77,37260,909,92274.97
20160309,0,0,0,290,21740.72,0,0,0,401,37681.97,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,152,10105.94,0,0,0,909,92274.97
20160311,1,140.08,49130,286,21364.81,5,624.77,43847,394,36889.01,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,3,266.87,36224,9667029,1,140.08,49130,6882168,2,357.90,49532,17727335,0,0,0,590,71207.57,1,61.78,53154,151,10044.16,6,764.85,44815,898,91106.10
20160314,0,0,0,286,21364.81,0,0,0,389,36457.72,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,151,10044.16,0,0,0,893,90674.81
20160315,0,0,0,286,21364.81,1,88.61,32428,388,36369.11,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,1,88.61,32428,2873463,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,2,112.66,54394,149,9931.50,1,88.61,32428,892,90586.20
20160317,0,0,0,279,20693.02,0,0,0,384,35923.37,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,4,215.33,53016,145,9716.17,0,0,0,881,89468.67
20160318,0,0,0,279,20693.02,0,0,0,384,35923.37,0,0,0,122,14475.45,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,1,61.37,63313,144,9654.80,0,0,0,881,89468.67
20160320,1,65.40,44690,277,20561.98,3,254.07,43675,375,35159.25,0,0,0,121,14359.60,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,4,319.47,43883,14019308,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,142,9532.06,4,319.47,43883,869,88457.66
20160321,0,0,0,277,20561.98,0,0,0,375,35159.25,0,0,0,121,14359.60,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,142,9532.06,0,0,0,869,88457.66
20160322,0,0,0,277,20561.98,1,88.95,33433,374,35070.30,0,0,0,121,14359.60,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,54,9786.62,0,0,0,3,688.72,0,0,0,2,603.66,1,88.95,33433,2973898,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,142,9532.06,1,88.95,33433,868,88368.71
20160323,0,0,0,252,18926.98,0,0,0,308,29507.12,0,0,0,121,14359.60,0,0,0,36,7072.18,0,0,0,1,225.65,1,168.95,56167,53,9617.67,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,1,168.95,56167,9489392,0,0,0,590,71207.57,3,163.87,54206,139,9368.19,1,168.95,56167,776,81001.58
20160324,8,629.02,50482,244,18297.96,3,262.38,45653,305,29244.74,1,130.31,52933,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,1,174.67,42034,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,11,891.40,49061,43732681,1,130.31,52933,6897750,1,174.67,42034,7342158,0,0,0,590,71207.57,0,0,0,139,9368.19,13,1196.38,48457,763,79805.20
20160325,2,130.80,43759,267,19802.16,3,254.07,31668,368,34553.85,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,5,384.87,35777,13769541,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,4,227.88,53332,135,9140.31,5,384.87,35777,849,86618.51
20160326,0,0,0,267,19802.16,0,0,0,368,34553.85,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,2,112.83,56136,133,9027.48,0,0,0,849,86618.51
20160327,0,0,0,267,19802.16,1,88.38,46891,367,34465.47,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,1,88.38,46891,4144248,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,133,9027.48,1,88.38,46891,848,86530.13
20160328,0,0,0,267,19802.16,1,88.40,44318,366,34377.07,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,1,88.40,44318,3917686,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,133,9027.48,1,88.40,44318,847,86441.73
20160329,0,0,0,267,19802.16,0,0,0,366,34377.07,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,3,164.12,55596,130,8863.36,0,0,0,847,86441.73
20160330,0,0,0,267,19802.16,0,0,0,366,34377.07,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,130,8863.36,0,0,0,847,86441.73
20160331,0,0,0,267,19802.16,0,0,0,366,34377.07,0,0,0,120,14229.29,0,0,0,36,7072.18,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,130,8863.36,0,0,0,847,86441.73
20160401,0,0,0,267,19802.16,8,710.90,45990,387,36631.07,0,0,0,121,14401.96,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,8,710.90,45990,32694369,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,1,61.37,61158,129,8801.99,8,710.90,45990,878,90499.31
20160405,0,0,0,73,4794.63,0,0,0,310,29801.18,0,0,0,76,8882.43,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,0,0,0,562,63142.36
20160406,0,0,0,73,4794.63,0,0,0,310,29801.18,0,0,0,76,8882.43,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,52,9443,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,0,0,0,562,63142.36
20160407,0,0,0,73,4794.63,5,441.69,37289,305,29359.49,0,0,0,76,8882.43,0,0,0,45,8703.09,0,0,0,1,225.65,2,345.03,43950,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,5,441.69,37289,16470021,0,0,0,0,2,345.03,43950,15163920,0,0,0,590,71207.57,0,0,0,9,2402.61,7,786.72,40210,555,62355.64
20160408,0,0,0,267,19802.16,0,0,0,382,36189.38,0,0,0,121,14401.96,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,0,0,0,871,89712.59
20160411,2,153.38,53242,264,19583.38,5,444.65,52120,377,35744.73,0,0,0,120,14270.53,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,7,598.03,52408,31341275,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,7,598.03,52408,862,88917.73
20160412,0,0,0,264,19583.38,0,0,0,377,35744.73,0,0,0,120,14270.53,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,0,0,0,862,88917.73
20160413,1,65.40,45749,263,19517.98,2,163.95,44273,375,35580.78,0,0,0,120,14270.53,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,3,229.35,44694,10250573,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,3,229.35,44694,859,88688.38
20160414,0,0,0,263,19517.98,0,0,0,375,35580.78,0,0,0,120,14270.53,0,0,0,45,8703.09,0,0,0,1,225.65,0,0,0,50,9097.97,0,0,0,3,688.72,0,0,0,2,603.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,71207.57,0,0,0,9,2402.61,0,0,0,859,88688.38
